model,chunk_step,mean_abs_error_mean,mean_abs_error_std,completed_seeds
act_ABC,1,0.12048292346298692,0.0022997882895641275,4
act_ABC,2,0.12588154710829255,0.0022740401788567503,4
act_ABC,3,0.13087810948491094,0.002798955031837258,4
act_ABC,4,0.13458380103111264,0.003083162451876386,4
act_ABC,5,0.1379095837473869,0.003047442570364656,4
act_ABC,6,0.1413060165941715,0.003091385068437126,4
act_ABC,7,0.14568198844790456,0.0021171388531006892,4
act_ABC,8,0.14924430474638936,0.0021977638006160246,4
act_ABC,9,0.15280342847108835,0.0027355727814519586,4
act_ABC,10,0.15667012333869929,0.0027419704652593075,4
act_ABC,11,0.16095659136772153,0.002683589212660694,4
act_ABC,12,0.16610062494873998,0.002415687396684793,4
act_ABC,13,0.17055829986929888,0.0025184663023059,4
act_ABC,14,0.1749137677252292,0.0033560844015206167,4
act_ABC,15,0.1795142032206058,0.003286474700621332,4
act_ABC,16,0.1850631423294544,0.0028571729441484693,4
act_ABC,17,0.18984863907098765,0.003924808813230068,4
act_ABC,18,0.19399980455636973,0.003460380256416374,4
act_ABC,19,0.1978744566440582,0.003294601759016028,4
act_ABC,20,0.20235591754317278,0.002957591960426299,4
act_ABC,21,0.2052543945610523,0.00296987131420864,4
act_ABC,22,0.20864345133304593,0.0028828567318997076,4
act_ABC,23,0.2112793810665607,0.003479330364010261,4
act_ABC,24,0.21338218450546262,0.003571709141015567,4
act_ABC,25,0.21526747569441793,0.0037481034996860304,4
act_ABC,26,0.21704209968447682,0.004201162844572849,4
act_ABC,27,0.21868563815951345,0.004099906402332861,4
act_ABC,28,0.2202878966927528,0.0046588946351834954,4
act_ABC,29,0.22175775840878487,0.00442281875934949,4
act_ABC,30,0.2222731634974479,0.004923787556077226,4
act_ABC,31,0.2231107465922832,0.004689212527722936,4
act_ABC,32,0.2234454229474067,0.004342213522201361,4
act_ABC,33,0.224279087036848,0.004937301955514255,4
act_ABC,34,0.22452149167656893,0.005230255439467293,4
act_ABC,35,0.22538225725293154,0.005396093597925054,4
act_ABC,36,0.22617963328957555,0.0052127112664811385,4
act_ABC,37,0.22665520012378693,0.00503176968126367,4
act_ABC,38,0.22728280723094937,0.0045702313838370005,4
act_ABC,39,0.22824304550886151,0.0040967427496448935,4
act_ABC,40,0.22997657209634778,0.002913804924321243,4
act_ABC,41,0.23040820658206937,0.002155701948807552,4
act_ABC,42,0.23125814273953435,0.0009761173634172257,4
act_ABC,43,0.23195561394095418,0.0014513255426330527,4
act_ABC,44,0.23255242407321924,0.0013271187299682833,4
act_ABC,45,0.23361956328153607,0.002069914133088349,4
act_ABC,46,0.23385260254144666,0.0033906246794586,4
act_ABC,47,0.23364672064781183,0.004223393424864144,4
act_ABC,48,0.23323254287242884,0.004310726276247782,4
act_ABC,49,0.2341526225209236,0.005560553908861498,4
act_ABC,50,0.23474644869565964,0.004998340354614155,4
act_ABC,51,0.23500745743513105,0.004453657562074766,4
act_ABC,52,0.23604470118880266,0.004547797625667845,4
act_ABC,53,0.23650790005922315,0.004359707983822408,4
act_ABC,54,0.23754443973302836,0.00466129307623215,4
act_ABC,55,0.23849775269627566,0.0043319598187451175,4
act_ABC,56,0.23983931168913836,0.004022052085068886,4
act_ABC,57,0.24123949557542798,0.0041773672204369235,4
act_ABC,58,0.24336595833301541,0.004239521584916328,4
act_ABC,59,0.24467975646257398,0.004359124483701053,4
act_ABC,60,0.24569336697459218,0.0044346293044856214,4
act_ABC,61,0.2465644739568233,0.004463252210039054,4
act_ABC,62,0.24705458059906957,0.004464347932048175,4
act_ABC,63,0.2478152737021446,0.004651948798056803,4
act_ABC,64,0.24788206815719602,0.004610932386424383,4
act_ABC,65,0.24762127548456186,0.004929124303193087,4
act_ABC,66,0.25584210082888603,0.011917713306855971,4
act_ABC,67,0.24752747640013692,0.00537306045720295,4
act_ABC,68,0.2655028402805328,0.009197648018068662,4
act_ABC,69,0.25057991966605186,0.004220335168077128,4
act_ABC,70,0.2544558458030224,0.012525084875679715,4
act_ABC,71,0.25098979845643044,0.014964480964970309,4
act_ABC,72,0.2596959397196769,0.005172801532358796,4
act_ABC,73,0.2692451253533363,0.01214568341407253,4
act_ABC,74,0.25216100364923477,0.002737011521687922,4
act_ABC,75,0.25612394139170647,0.015177666580874478,4
act_ABC,76,0.2508303709328174,0.007901082461280783,4
act_ABC,77,0.2458366602659225,0.009707974941827225,4
act_ABC,78,0.24914890527725217,0.008828177744052729,4
act_ABC,79,0.25894507393240923,0.011837823472286579,4
act_ABC,80,0.26082302257418627,0.012170255572809648,4
act_ABC,81,0.2726345434784889,0.013865937361592421,4
act_ABC,82,0.2504049390554428,0.010074407067609932,4
act_ABC,83,0.25580174848437304,0.017967304251712366,4
act_ABC,84,0.2516836076974868,0.009843040342062428,4
act_ABC,85,0.26153329014778137,0.00665763244891407,4
act_ABC,86,0.25268452242016787,0.01500265544933567,4
act_ABC,87,0.2616364285349846,0.010315693217024203,4
act_ABC,88,0.2571483068168163,0.013210338287260483,4
act_ABC,89,0.2488777823746204,0.009338468634500524,4
act_ABC,90,0.24821557104587552,0.006999303222142641,4
act_ABC,91,0.2551942355930805,0.00648958138007421,4
act_ABC,92,0.24354150518774983,0.0032370604473920084,4
act_ABC,93,0.2586559280753135,0.010377071109373186,4
act_ABC,94,0.2570194713771343,0.020028304069994885,4
act_ABC,95,0.2536871172487736,0.009761157983784546,4
act_ABC,96,0.254059374332428,0.00844356832768847,4
act_ABC,97,0.26463389396667475,0.011611697931205514,4
act_ABC,98,0.24723018705844876,0.006381604408006094,4
act_ABC,99,0.2654667533934116,0.023735634274082814,4
act_ABC,100,0.26630702614784235,0.014855299856241167,4
act_A_only,1,0.1348239257931709,0.003504930523574253,4
act_A_only,2,0.14365550875663755,0.0035098750954995635,4
act_A_only,3,0.1492734178900718,0.003573306515598749,4
act_A_only,4,0.15357797220349312,0.004209485084873529,4
act_A_only,5,0.1575159467756748,0.003655271906627084,4
act_A_only,6,0.16051596775650973,0.0035343070225106097,4
act_A_only,7,0.16415516659617418,0.003900041771261299,4
act_A_only,8,0.16772968322038648,0.0037025550877929853,4
act_A_only,9,0.17161007970571515,0.003479681699678068,4
act_A_only,10,0.17571504414081568,0.003467890576293873,4
act_A_only,11,0.18049445003271097,0.0031225142629930816,4
act_A_only,12,0.18500750884413714,0.003513452326532713,4
act_A_only,13,0.1901849173009395,0.002280328875858676,4
act_A_only,14,0.196129310876131,0.0026252205116192987,4
act_A_only,15,0.2016814313828945,0.0019893019104982486,4
act_A_only,16,0.20713337883353228,0.002322078984806785,4
act_A_only,17,0.21357727423310274,0.0025005480953882407,4
act_A_only,18,0.21851160377264017,0.002534157522845769,4
act_A_only,19,0.22490175068378446,0.0025568062613019553,4
act_A_only,20,0.23006420582532877,0.0016704257088392726,4
act_A_only,21,0.23404220491647718,0.002253527562177378,4
act_A_only,22,0.23882338404655454,0.0014428911366543946,4
act_A_only,23,0.2421317286789417,0.0021019245291986196,4
act_A_only,24,0.24467195942997927,0.0027636884452413913,4
act_A_only,25,0.2472140192985534,0.002266089363275209,4
act_A_only,26,0.2487426847219467,0.0019791320658196746,4
act_A_only,27,0.2503042668104172,0.0022797792246314653,4
act_A_only,28,0.2506805621087551,0.00213046905987858,4
act_A_only,29,0.25187375023961067,0.0021089493792621128,4
act_A_only,30,0.2530735954642296,0.0033211617981930637,4
act_A_only,31,0.25396038591861725,0.0026753476988833308,4
act_A_only,32,0.2541132867336273,0.002950744608611704,4
act_A_only,33,0.2551940381526947,0.0038609918592561942,4
act_A_only,34,0.2551851198077202,0.003628358744344966,4
act_A_only,35,0.2559325098991394,0.004698586489520517,4
act_A_only,36,0.2571998685598373,0.005200973076709121,4
act_A_only,37,0.2570626512169838,0.005185083282706471,4
act_A_only,38,0.25753165036439896,0.005728549054056525,4
act_A_only,39,0.257961168885231,0.0047551623672439005,4
act_A_only,40,0.25723693519830704,0.004397698153697221,4
act_A_only,41,0.2578338831663131,0.005634423665639084,4
act_A_only,42,0.25749021023511887,0.005181456051199756,4
act_A_only,43,0.2568828836083412,0.005616420759659214,4
act_A_only,44,0.2556629478931427,0.0056497366956895344,4
act_A_only,45,0.2550501599907875,0.005735201972143432,4
act_A_only,46,0.2537335380911827,0.005555397662822703,4
act_A_only,47,0.2534864917397499,0.0056407667085535415,4
act_A_only,48,0.2521590180695057,0.004972534976132453,4
act_A_only,49,0.25016411393880844,0.0047038573381305935,4
act_A_only,50,0.24924940988421437,0.004517938451698338,4
act_A_only,51,0.24995160102844238,0.002530304617900186,4
act_A_only,52,0.25050613284111023,0.0027230290096732996,4
act_A_only,53,0.2519091069698334,0.0022553361480894003,4
act_A_only,54,0.25285748392343516,0.0024238343556400683,4
act_A_only,55,0.25415486097335815,0.001442674528959653,4
act_A_only,56,0.25618574023246765,0.00222052199652636,4
act_A_only,57,0.2575027793645859,0.0013707803750154662,4
act_A_only,58,0.25966203212738037,0.0011778826225324946,4
act_A_only,59,0.2606222033500671,0.0010138897004825045,4
act_A_only,60,0.2621683627367019,0.00149109409455938,4
act_A_only,61,0.2638714537024498,0.003361373683800483,4
act_A_only,62,0.26504046469926834,0.003482499494403889,4
act_A_only,63,0.2652379050850868,0.003976447269685986,4
act_A_only,64,0.2645735666155815,0.0028438552453035723,4
act_A_only,65,0.26779536157846445,0.0035096354292833477,4
act_A_only,66,0.27978793531656265,0.013420921724418491,4
act_A_only,67,0.27865494787693024,0.012559051705800234,4
act_A_only,68,0.280431218445301,0.01308062058639784,4
act_A_only,69,0.2651148587465286,0.008828340030575206,4
act_A_only,70,0.27745754271745676,0.006918589546489192,4
act_A_only,71,0.27750153839588165,0.004402982329445436,4
act_A_only,72,0.27942386269569397,0.018738737708469254,4
act_A_only,73,0.2717995569109916,0.007430566271836262,4
act_A_only,74,0.27296707034111023,0.017160724240983517,4
act_A_only,75,0.2793337851762771,0.015224960457140044,4
act_A_only,76,0.2708583325147629,0.01927400968982476,4
act_A_only,77,0.28062018752098083,0.016252645037665457,4
act_A_only,78,0.2675088569521904,0.01769973800383109,4
act_A_only,79,0.2793233394622803,0.008577220252925457,4
act_A_only,80,0.27360641956329346,0.010859539122982853,4
act_A_only,81,0.27815985679626465,0.016111440227248947,4
act_A_only,82,0.2750319465994835,0.01119342537035127,4
act_A_only,83,0.27711920440196985,0.011124683390818586,4
act_A_only,84,0.27488186210393906,0.015616992752921367,4
act_A_only,85,0.27362117171287537,0.017599731970400084,4
act_A_only,86,0.26860421895980835,0.012285418287100227,4
act_A_only,87,0.2761741057038307,0.011827032181040585,4
act_A_only,88,0.2734115645289421,0.010452711414813829,4
act_A_only,89,0.27515709400177,0.017423333746922225,4
act_A_only,90,0.2661453038454056,0.014354376438886422,4
act_A_only,91,0.2688735201954841,0.004184659652283651,4
act_A_only,92,0.27301071584224695,0.01430494188960307,4
act_A_only,93,0.27514154464006424,0.020324642335609763,4
act_A_only,94,0.27327342331409454,0.012873787748208425,4
act_A_only,95,0.26986503601074213,0.021388030122249827,4
act_A_only,96,0.2755758538842201,0.010245418509383044,4
act_A_only,97,0.2743668928742409,0.012587046820199583,4
act_A_only,98,0.2671696841716766,0.013163920266929875,4
act_A_only,99,0.2826502323150635,0.011251743112331025,4
act_A_only,100,0.25645239651203156,0.006680854630774374,4
